unit,na_item,geo\time,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
CLV_I05,B1GQ,AT,114.135,122.188,120.478,117.448,114.696,112.458,111.329,110.598,110.57,109.822,106.703,104.779,108.877,107.31,103.454,100.0,97.805,95.201,94.313,92.781,91.62,88.628,85.585,82.625,80.931,79.073,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,BE,114.729,122.422,120.275,118.163,116.277,114.823,112.525,110.777,110.27,109.461,107.637,104.64,106.798,106.323,102.552,100.0,97.731,94.361,93.392,91.824,90.826,87.571,84.575,82.947,79.916,78.873,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,BG,141.024,147.135,141.893,137.637,132.979,128.086,123.171,120.892,120.499,120.071,117.309,116.657,120.731,113.805,106.802,100.0,93.324,87.676,83.38,78.696,75.802,72.343,78.874,75.633,88.143,83.835,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,CH,128.912,132.721,131.3,127.459,125.471,122.956,120.951,118.062,115.95,114.556,112.397,108.84,111.152,108.171,104.015,100.0,97.198,94.531,94.575,94.58,93.113,89.552,88.016,85.398,83.503,83.093,82.695,81.658,81.761,81.797,82.553,79.627,76.322,73.9,72.746,71.419,68.888,66.876,66.452,67.333,66.272,,,,,
CLV_I05,B1GQ,CY,120.585,127.073,123.281,117.142,111.4,104.662,101.398,103.287,110.531,114.476,114.019,111.767,114.066,110.052,104.714,100.0,95.372,90.807,88.486,85.31,82.066,77.446,73.76,69.512,67.724,66.888,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,CZ,132.138,139.98,136.815,132.574,126.059,122.939,116.654,114.073,114.126,115.029,113.039,110.352,115.742,112.714,106.767,100.0,93.807,89.499,86.402,85.067,82.555,79.379,78.295,78.575,78.984,75.753,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,DE,117.122,123.152,122.472,120.939,117.872,115.3,113.605,111.15,110.665,110.204,106.042,101.787,107.933,106.906,103.816,100.0,99.274,98.121,98.812,99.008,97.371,94.615,92.863,91.03,89.427,88.712,87.363,85.322,86.164,84.538,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,DK,116.913,120.198,116.868,114.379,111.241,107.743,105.277,103.599,102.641,102.409,101.058,99.202,104.321,104.858,103.913,100.0,97.717,95.177,94.807,94.367,93.597,90.217,87.633,85.731,83.024,80.684,78.313,74.349,74.341,72.914,71.912,70.866,70.412,70.421,70.243,66.959,64.381,61.806,60.242,58.102,58.491,58.775,56.586,55.353,54.337,51.298
CLV_I05,B1GQ,EA,109.156,116.835,115.349,113.218,110.344,108.326,106.11,104.65,104.918,105.879,104.148,101.954,106.569,106.146,103.146,100.0,98.432,96.284,95.734,94.92,93.167,89.741,87.181,84.687,82.577,81.302,,,,,,,,,,,,,,,,,,,,
CLV_I05,B1GQ,EA12,108.616,116.33,114.904,112.838,110.012,108.026,105.903,104.468,104.733,105.714,103.985,101.819,106.515,106.122,103.146,100.0,98.432,96.284,95.734,94.92,92.927,89.507,86.952,84.449,82.315,81.026,,,,,,,,,,,,,,,,,,,,
