s_adj,nace_r2,sizeclas,indic,geo\time,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1,2011Q4,2011Q3,2011Q2,2011Q1,2010Q4,2010Q3,2010Q2,2010Q1,2009Q4,2009Q3,2009Q2,2009Q1,2008Q4,2008Q3,2008Q2,2008Q1,2007Q4,2007Q3,2007Q2,2007Q1,2006Q4,2006Q3,2006Q2,2006Q1,2005Q4,2005Q3,2005Q2,2005Q1,2004Q4,2004Q3,2004Q2,2004Q1,2003Q4,2003Q3,2003Q2,2003Q1,2002Q4,2002Q3,2002Q2,2002Q1,2001Q4,2001Q3,2001Q2,2001Q1
NSA,A,GE10,JOBRATE,BG,0.6,0.6,0.7,0.9,0.9,0.3,0.9,0.7,0.6,0.6,0.8,1.0,0.9,0.8,0.6,0.9,1.2,0.5,0.4,0.8,0.9,0.5,0.4,0.9,0.6,0.3,0.4,1.0,0.6,0.4,0.4,0.7,1.0,0.4,0.3,1.3,0.3,0.3,0.4,0.7,2.9,0.4,0.4,0.7,0.5,0.4,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,CZ,10.3,11.4,11.2,10.9,10.3,10.3,10.0,9.3,8.6,8.2,8.6,8.5,6.3,5.6,5.8,5.4,3.3,3.0,3.3,3.2,2.5,2.5,2.9,2.5,1.8,1.6,2.0,2.3,1.0,0.8,1.0,1.1,0.8,1.2,1.4,1.3,0.9,0.8,0.7,0.9,0.8,0.8,0.8,1.2,1.2,1.4,1.7,2.2,2.9,3.1,3.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,DE,3.4,2.3,2.4,3.5,2.5,3.3,3.6,2.8,3.4,2.3,2.2,2.7,2.0,3.7,3.0,3.1,3.0,0.7,2.2,2.6,2.0,1.3,1.3,1.5,1.1,1.1,1.8,1.6,1.5,0.5,0.8,2.2,1.5,1.8,2.4,1.0,0.9,2.8,1.4,1.3,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,EE,1.1,0.1,0.6,0.2,0.5,0.6,0.7,0.4,0.5,0.6,0.6,1.2,1.5,0.8,1.2,1.4,0.9,0.5,0.3,0.1,0.2,0.5,0.4,0.7,0.3,0.3,0.2,0.4,0.4,0.5,0.2,0.6,0.4,0.7,0.2,0.6,0.4,0.3,0.4,0.4,0.7,0.9,0.5,0.6,0.6,0.7,0.3,0.6,1.5,2.0,2.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,FI,0.4,1.3,0.0,6.4,2.1,1.1,4.9,5.2,4.1,2.3,2.6,2.5,0.3,0.7,2.6,0.3,0.0,1.5,0.0,1.3,0.6,0.5,0.2,0.0,0.0,0.0,0.3,0.3,0.8,2.2,0.6,2.6,0.9,3.4,1.2,8.0,0.1,0.7,3.8,5.1,1.1,2.1,2.5,2.2,0.2,1.0,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,HR,0.7,1.6,1.5,2.1,1.0,2.0,2.2,2.6,1.3,2.6,2.5,2.2,1.3,2.4,2.8,2.3,0.9,1.8,2.6,1.7,0.2,0.4,1.5,0.7,0.1,0.2,0.5,0.2,0.2,0.2,0.3,0.3,0.0,0.0,0.6,0.5,0.1,1.2,0.7,0.3,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,HU,0.8,0.7,0.8,0.9,1.1,1.0,1.1,1.2,1.3,1.3,1.1,1.1,0.8,0.8,0.7,0.6,0.7,0.6,0.4,0.5,0.3,0.3,0.2,0.3,0.8,0.7,0.7,1.0,0.4,0.3,0.3,0.4,1.3,0.1,0.3,0.5,0.2,0.1,0.1,0.6,0.3,0.3,0.3,0.5,0.2,0.2,0.3,0.7,0.5,0.4,0.7,1.0,0.4,0.3,0.3,1.4,0.4,0.5,0.5,1.2,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,IS,,,0.0,0.0,0.0,0.0,6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,LT,0.6,0.6,0.6,0.5,0.4,0.7,1.2,1.0,0.5,0.6,0.7,1.4,1.0,0.9,0.9,1.3,0.5,0.8,0.8,1.2,0.2,0.2,0.2,0.4,0.2,0.3,0.3,0.6,0.2,0.5,0.3,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.6,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.3,0.5,0.7,1.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA,A,GE10,JOBRATE,LU,0.8,0.8,0.5,1.4,2.2,2.1,2.6,1.4,1.4,1.7,2.8,2.2,0.8,2.8,2.4,1.7,0.9,1.1,1.1,1.3,0.7,1.1,1.1,1.8,0.7,1.1,1.1,0.7,0.2,0.5,0.5,0.7,0.6,0.8,0.8,0.6,0.6,0.7,1.2,0.5,0.9,0.7,0.7,0.6,0.0,0.6,1.0,0.6,0.8,1.2,0.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
